Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 62831)
rand_mask=b'U-\x8e\xb6\xc8\xfd\x06y'
masked_addr=b'UI,\x15\xc9\xfd\x06y'
target_addr=0064a2a301000000
lowest_message_bit=14
key 0
63: expect=-2, actual=np.int64(-1), [0.001, 0.005, 0.631, 0.363, 0.000, 0.000, 0.000], checks for var: 11
64: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.002, 0.998, 0.000, 0.000, 0.000], checks for var: 13
65: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.998, 0.002, 0.000, 0.000], checks for var: 13
66: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
67: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 13
69: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
71: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
74: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
76: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.004, 0.996, 0.000, 0.000, 0.000], checks for var: 12
77: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 8
78: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
79: expect=3, actual=np.int64(0), [0.000, 0.000, 0.000, 0.982, 0.018, 0.000, 0.000], checks for var: 8
80: expect=2, actual=np.int64(0), [0.000, 0.000, 0.007, 0.993, 0.000, 0.000, 0.000], checks for var: 12
81: expect=-1, actual=np.int64(0), [0.000, 0.002, 0.006, 0.992, 0.000, 0.000, 0.000], checks for var: 13
83: expect=-2, actual=np.int64(0), [0.000, 0.001, 0.002, 0.997, 0.000, 0.000, 0.000], checks for var: 11
84: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.962, 0.030, 0.007, 0.001], checks for var: 14
87: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 8
90: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.988, 0.012, 0.000, 0.000], checks for var: 9
91: expect=2, actual=np.int64(0), [0.000, 0.000, 0.018, 0.853, 0.129, 0.000, 0.000], checks for var: 11
92: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.998, 0.001, 0.000, 0.000], checks for var: 11
93: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 8
95: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.022, 0.949, 0.023, 0.005], checks for var: 10
96: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
97: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 8
99: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.998, 0.000, 0.000, 0.000], checks for var: 11
100: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
101: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
104: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
105: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 13
106: expect=3, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
107: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.974, 0.007, 0.017, 0.001], checks for var: 7
108: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 9
