Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 49584)
rand_mask=b'\xfe\xa6\xc4\xd8O8XO'
masked_addr=b'\xfe\x01f{N8XO'
target_addr=00a7a2a301000000
lowest_message_bit=15
key 0
69: expect=0, actual=np.int64(-2), [0.360, 0.569, 0.071, 0.000, 0.000, 0.000, 0.000], checks for var: 19
70: expect=-1, actual=np.int64(-2), [0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 17
71: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 19
73: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.998, 0.002, 0.000, 0.000], checks for var: 19
76: expect=-1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.011, 0.989, 0.000], checks for var: 19
77: expect=2, actual=np.int64(-2), [0.093, 0.783, 0.121, 0.004, 0.000, 0.000, 0.000], checks for var: 18
79: expect=0, actual=np.int64(1), [0.000, 0.000, 0.022, 0.447, 0.474, 0.056, 0.001], checks for var: 19
80: expect=-1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.151, 0.004, 0.035, 0.810], checks for var: 19
81: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000], checks for var: 18
82: expect=3, actual=np.int64(-2), [0.014, 0.689, 0.247, 0.049, 0.001, 0.000, 0.000], checks for var: 18
83: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 18
84: expect=1, actual=np.int64(0), [0.000, 0.000, 0.006, 0.994, 0.000, 0.000, 0.000], checks for var: 16
85: expect=-1, actual=np.int64(-3), [0.932, 0.060, 0.008, 0.000, 0.000, 0.000, 0.000], checks for var: 18
86: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.004, 0.109, 0.842, 0.046], checks for var: 20
89: expect=-1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.003, 0.063, 0.934, 0.000], checks for var: 19
91: expect=0, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
92: expect=1, actual=np.int64(-2), [0.006, 0.993, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 18
93: expect=0, actual=np.int64(-2), [0.065, 0.935, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 20
